id,cuisine
18009,7
28583,14
41580,19
29752,11
35687,3
38527,7
19666,12
41217,4
28753,9
22659,6
21749,5
44967,6
42969,12
44883,13
20827,13
23196,13
35387,12
33780,19
19001,13
16526,13
42455,17
47453,6
42478,15
11885,15
16585,10
29639,15
26245,11
38516,11
47520,3
26212,12
23696,5
14926,11
13292,9
27346,12
1384,4
15959,2
42297,19
46235,1
21181,2
9809,5
22982,16
23120,4
26743,7
12741,5
7050,10
22437,19
14760,19
10649,2
48065,14
39931,17
32935,10
40142,18
19103,13
38267,5
30512,11
3324,4
26197,8
384,13
47230,4
39748,15
41038,14
24878,11
42624,16
45706,0
8874,12
23878,8
47234,12
24075,18
46323,16
22562,5
11358,10
9201,1
38620,19
47638,6
21238,1
11053,14
46602,13
13937,10
21876,12
20798,19
24381,4
48178,5
45832,10
27560,17
23247,6
28975,6
43230,10
9126,5
13021,16
28194,12
25617,19
36125,8
16454,5
1607,18
38526,2
18755,13
12035,19
16047,10
15419,5
16971,1
31459,7
27888,7
13900,9
12376,18
1658,15
29431,12
22290,8
28464,5
37953,17
20814,19
35987,12
2329,16
43237,16
30647,15
16675,12
37722,19
32438,0
20287,16
43296,15
6237,13
48560,18
20810,5
34951,6
31850,16
47745,9
37815,10
9872,11
5592,3
27411,11
39320,13
40247,6
19792,11
40754,3
14365,16
14468,14
47563,5
19611,19
7163,12
43069,19
27505,0
36500,11
25932,13
817,3
8471,7
48250,7
9413,5
12097,12
8416,10
5892,15
676,12
47015,17
21891,8
14630,3
36195,3
25981,12
39964,19
28298,12
31954,14
26620,12
14932,7
47426,12
1038,6
8077,6
37141,6
45447,14
9624,12
45589,12
7265,12
31844,12
13046,5
9867,15
29184,9
34783,3
2823,18
18932,11
11112,19
12859,16
9365,3
44516,12
18193,2
46545,19
9900,14
14815,12
39690,9
22193,6
11739,14
27311,13
36920,15
7861,12
29248,11
43142,16
7574,9
8610,5
989,16
46926,2
40816,5
39726,9
42229,7
10474,12
22140,16
31985,1
46165,14
20860,12
42494,3
15968,16
20484,12
26661,16
47182,10
22528,7
3861,12
1203,15
45040,14
33287,16
10097,13
42005,12
12423,19
39613,15
30276,6
18686,12
3031,7
40093,8
182,3
46591,19
4092,4
13722,7
44575,8
14989,19
13270,6
25529,8
12140,16
23127,19
13523,8
41270,5
8362,12
11735,12
27935,3
28198,12
37765,10
33856,14
30198,5
42521,6
21567,12
36995,13
24967,12
45002,13
48925,12
36914,13
2280,7
14729,15
4594,9
2237,8
45631,16
2317,10
23079,13
29333,11
48066,13
15737,15
30580,8
1119,14
46336,5
5026,10
10749,13
31020,9
30805,13
27653,15
35060,8
39174,2
49509,15
31784,7
31408,16
36029,19
11045,9
6561,7
26992,14
31179,13
35099,8
11018,18
17930,19
21302,3
46352,17
25132,11
7010,5
25850,9
19601,8
7935,10
34994,9
25113,3
45523,16
34977,11
7124,14
27514,6
27178,16
47880,0
29197,14
16347,6
20333,12
29112,0
7510,13
13897,8
35699,10
20520,5
38920,13
21775,9
37475,4
40131,16
1939,13
48268,16
34815,7
13797,8
39063,4
29064,4
26896,3
29477,7
3352,7
4966,12
7316,7
23879,19
16525,3
32843,9
39574,9
32737,16
44788,0
28772,5
34189,2
33719,10
25846,5
1423,5
4328,9
579,12
5219,1
2314,15
31143,16
13409,18
3281,8
15804,9
40835,11
39262,11
37013,19
14807,11
47956,16
2580,12
13720,12
23008,18
5951,12
39312,9
6176,6
17617,18
57,11
43422,13
49403,12
44751,6
21865,12
26584,12
39355,18
14038,9
45396,2
49715,12
41515,11
30445,10
4090,12
17207,12
40376,13
19398,10
22347,2
49671,12
40854,10
926,17
47919,19
20571,13
18866,12
48742,16
14577,3
29481,19
40996,10
34470,10
31147,5
35932,12
27221,8
48301,5
29925,0
48640,12
22873,12
10565,19
15509,12
37569,14
13306,12
40474,12
15182,12
8609,17
32168,14
1125,12
25244,16
46889,4
13841,17
47135,19
29036,2
43533,17
41631,14
22124,2
18836,5
35695,14
5141,1
41894,10
4972,3
34195,5
14183,6
15188,16
8734,6
30946,6
5588,6
49554,7
1270,1
1259,0
45986,13
22351,14
300,19
9278,12
10021,3
17014,15
40855,12
18362,13
16292,4
29924,7
47174,8
4856,19
15417,8
19875,7
42228,10
36264,12
14571,12
23496,11
43879,12
23431,1
5499,12
247,13
48795,1
47113,2
489,2
13036,17
4838,8
40630,19
17576,10
29972,1
8123,1
35918,2
42669,2
24632,13
35740,2
45670,8
28041,0
46688,18
10309,11
15367,13
30562,6
47151,19
47300,11
31200,13
5749,15
41807,12
13990,19
23572,13
872,13
38085,18
5248,7
26309,12
26880,12
41559,13
8059,19
26041,12
30019,16
7207,1
30309,7
2092,12
8023,17
4016,12
24631,5
35068,7
8523,16
28463,2
8629,10
43829,8
22129,3
34505,17
38200,4
36513,17
32187,6
7788,14
31130,14
40483,7
2224,2
14143,7
22889,11
17406,17
10451,5
19844,5
23416,7
33874,12
39951,5
41361,16
44659,13
8836,15
21709,1
22993,12
39191,0
17182,12
20507,18
42397,15
18897,3
3797,11
11041,14
807,18
3514,16
12936,17
15050,6
43377,11
10471,2
30721,16
14333,1
6260,0
7712,15
19048,7
21455,12
18575,12
47647,5
35947,8
14499,12
43525,13
5723,16
48497,19
43822,14
525,10
30594,12
47948,7
2099,11
43863,16
24711,17
15230,2
21680,1
36218,2
41622,4
34809,19
5110,3
27214,3
34803,16
36822,12
6912,14
20373,14
29157,14
6327,12
35502,10
8305,11
35598,2
48538,1
49358,1
44506,19
39146,1
29270,6
20560,14
24169,7
41537,8
10431,10
31517,16
34049,4
26964,5
49655,5
9101,7
30377,6
7046,13
47969,12
18971,14
38891,5
29506,12
40305,12
21255,12
15578,12
24894,7
32089,0
46097,9
40982,12
12543,15
38366,13
32925,10
17506,11
48389,7
41804,18
9961,14
24939,1
39599,11
45838,9
48875,1
25531,14
3009,15
31965,13
16901,8
13370,15
2954,14
40353,5
8207,2
10933,17
38206,14
14110,8
19128,3
32616,1
27748,5
31858,7
20510,2
17602,18
35665,13
46589,1
8178,2
34880,5
42527,19
29682,16
32166,17
30343,2
15385,15
18372,17
29211,3
23269,17
4561,3
27365,11
49032,9
22064,3
12060,19
47834,11
25815,13
34036,16
19326,13
44078,12
31090,19
17485,12
708,12
5350,12
29754,12
18309,3
46871,10
27300,7
41890,16
49548,19
11392,3
1354,13
48819,14
19097,6
42113,8
24060,11
25849,10
4543,8
25306,13
41966,3
48719,2
48191,17
8826,6
42703,19
16083,6
26613,12
28088,16
39965,7
36239,5
4322,3
9951,7
3045,13
28585,3
39841,12
25913,9
39715,12
23135,15
47022,1
24160,6
18619,8
12574,17
22681,19
33692,19
538,2
22118,4
21890,6
36340,17
27973,12
12870,16
22564,17
35063,13
7000,7
11318,19
47001,12
11395,17
23507,18
47242,2
48957,10
17721,12
25138,6
47438,8
47162,12
42459,14
6486,16
24116,1
31596,4
38887,17
10665,10
13712,16
2633,12
35784,13
45204,3
46722,7
34949,14
35321,18
46430,6
34431,6
30890,13
42132,2
15702,9
47719,11
45160,3
20600,14
10800,11
30479,3
9457,15
26571,13
42942,16
36635,12
43617,17
16911,12
122,14
22340,12
37007,15
23595,8
25233,2
5503,4
47338,12
44695,13
7141,7
14564,6
19655,7
35326,8
35922,5
28171,10
1322,15
14923,12
42344,12
16380,12
15233,11
8338,0
41014,14
30440,12
23043,4
20788,3
14375,7
1184,4
34280,13
46171,16
31834,17
14759,10
15855,18
6662,5
15056,3
34873,4
20089,6
20015,13
18402,15
6418,7
1454,4
14070,17
26424,12
27349,1
26459,18
13151,5
12264,8
18366,15
46851,5
18954,12
39858,4
43500,16
21656,12
10505,4
5313,19
28951,17
19961,1
1795,7
9917,2
26180,12
9726,6
47689,10
7866,12
41625,13
35160,14
4430,3
39082,7
46186,1
11988,9
24177,12
31849,3
41194,8
36968,9
42330,4
36791,12
19704,3
4933,2
4255,19
37105,15
35848,2
17416,19
39066,3
36270,2
24406,2
20517,12
27630,10
19670,7
4685,10
45260,3
378,13
40841,6
27632,17
12193,12
38047,12
10170,8
25043,12
23851,8
14743,11
13294,12
26466,18
32002,8
37526,14
8888,8
38945,13
38546,13
38869,14
10556,13
3296,12
25977,8
32025,13
44087,3
32762,6
824,14
44636,11
542,4
38218,5
41930,12
1987,15
37378,7
8873,15
1513,0
44013,12
38042,19
11576,17
24510,19
823,3
23443,17
34870,5
3846,12
14993,15
16854,18
5886,11
33793,12
2999,14
20843,12
29153,10
33790,5
16516,2
37887,12
18466,1
48033,15
45404,3
4175,5
31986,3
38555,1
26832,13
19810,2
49086,14
39579,5
25551,14
42549,5
22052,16
45632,13
4143,12
11310,3
32839,14
48171,18
22896,12
10878,5
31643,11
47624,12
35141,7
13498,4
24566,12
16533,6
15437,13
19426,8
32416,8
2427,19
9178,12
40606,8
28450,0
7946,3
21756,8
17843,14
44066,13
7427,14
11297,2
42965,3
23067,12
35066,9
27938,3
39075,8
20200,14
19823,14
12336,4
34714,5
45388,19
25639,11
33985,6
25524,12
19641,11
11106,11
22165,8
35412,5
23475,14
1570,5
12815,12
37253,3
16900,12
7701,12
49391,15
1132,16
13051,19
2284,17
21410,14
25604,3
45746,14
35911,10
26608,14
16991,7
40657,5
47960,7
38408,7
1295,16
40139,16
38538,14
26420,19
10326,14
5181,2
18210,5
3241,7
27062,10
41527,11
45484,16
38755,14
47246,3
164,5
723,10
299,7
1519,12
34077,14
45254,1
34760,7
11154,12
26274,3
15081,3
45100,19
1417,6
32083,5
29971,3
17679,5
36539,13
34975,19
4633,12
10321,15
35565,8
26919,0
9549,13
31863,7
22053,15
19443,13
18540,10
23354,15
13859,9
23904,14
6675,14
18595,7
12967,4
17283,7
23211,12
14358,12
31398,12
42650,15
25258,13
18457,11
11810,16
9499,16
11943,16
6810,17
34323,12
23296,18
45927,5
45196,6
19917,17
20210,3
41629,18
39907,10
4956,12
37058,10
20859,17
3315,8
4401,16
21361,10
44164,7
26391,10
47771,13
44140,3
43739,16
12481,2
12292,13
15965,1
23409,10
39005,4
2774,19
14529,17
16926,8
26890,6
9663,12
43052,11
24193,6
5476,16
10048,2
1981,16
12194,12
22202,13
7626,17
37365,15
44144,10
37723,14
47194,14
30827,3
33108,1
2075,10
6326,12
11083,19
30311,18
45371,16
18232,12
9768,0
6648,12
35650,9
23013,3
6669,2
42670,13
18155,2
44622,16
28426,5
23743,12
14176,14
9576,5
36577,16
16671,5
22964,11
16424,13
47225,13
17565,12
36401,0
30314,10
32982,15
21866,19
1475,15
13053,19
33983,2
24051,9
22800,5
16561,4
2740,6
219,6
48737,14
2164,10
13579,16
71,15
12420,12
35209,2
11472,8
43172,13
24927,15
37102,2
10743,6
27874,16
9565,6
21419,10
767,17
28308,5
37605,3
9558,14
31527,16
2419,4
7541,4
11400,12
23487,12
8087,7
21906,6
48830,5
37328,13
45490,12
9710,19
16153,11
39537,12
13923,10
8120,19
12923,2
1556,19
6871,15
34201,7
36146,14
33170,15
20082,5
26517,7
15214,11
34092,11
40902,5
44452,13
2083,10
44897,8
17850,16
26693,3
19618,16
35589,13
46084,9
17256,12
47570,13
32796,12
27047,3
39487,5
130,12
17627,3
29072,7
1108,12
22666,15
41630,11
27289,3
42299,13
36078,8
7098,6
46999,14
28791,4
39576,12
2447,6
22449,15
23828,13
5660,5
47460,9
17912,5
12288,13
44037,13
20875,19
6500,18
13813,13
4907,9
38186,10
9816,2
8170,12
21681,8
42384,12
35366,7
34244,12
35421,16
33457,9
28026,18
38122,10
21362,2
42253,19
21994,3
34457,18
40229,19
10181,5
38257,13
40992,13
15617,15
34754,19
45459,3
31295,2
44977,6
18322,17
23257,17
10084,14
16445,1
10594,12
26828,3
47643,18
49680,4
27446,12
8731,3
37341,12
42241,17
13669,12
21403,11
688,5
23894,8
35753,2
44692,3
235,15
20982,5
10166,2
2187,12
5022,18
49037,13
44478,13
8912,2
8919,16
23856,12
14647,14
48870,0
14377,12
18548,14
39591,12
46746,8
31926,10
10159,14
11342,17
32421,19
19969,5
3029,11
39565,6
7426,12
20624,10
4385,7
18761,8
46710,18
46241,11
14208,2
29323,19
40663,6
32391,12
9506,8
35402,2
48796,15
4657,12
2404,6
36923,14
41762,11
19344,0
19876,15
39452,7
19209,11
35461,12
5784,6
40345,12
